1,1,Fred Flintstone,230,228,229    
1,2,Barney Rubble,187,292,178    
1,3,George Jetson,155,123,167    
1,4,Homer Simpson,98,79,65    
2,1,Wilma Flintstone,240,230,234    
2,2,Betty Rubble,200,205,276    
2,3,Marge Simpson,230,234,229    
2,4,Jane Jetson,204,205,210    
3,1,Cady Heron,204,202,203    
3,2,Regina Georg,180,190,190    
3,3,Gretchen Weiners,130,150,120    
3,4,Karen Smith,87,91,63    
4,1,Sheldon Cooper,175,160,180    
4,2,Howard Wolowitz,190,210,200    
4,3,Leonard Hafstadler,120,118,119    
4,4,Penny,60,70,65    
